,DN,nome,ano,area,classificação
274,11,Paraná,2021,512165697.0,Não-Antrópico
275,11,Paraíba do Sul,2008,9694110.0,Não-Antrópico
276,11,Paraíba do Sul,2021,11049360.0,Não-Antrópico
277,11,Parnaíba,2008,121550463.0,Não-Antrópico
278,11,Parnaíba,2021,176066415.0,Não-Antrópico
279,11,São Francisco,2008,174712603.0,Não-Antrópico
280,11,São Francisco,2021,271271084.0,Não-Antrópico
281,11,Tapajós,2008,122222859.0,Não-Antrópico
282,11,Tapajós,2021,94154856.0,Não-Antrópico
283,11,Tietê,2008,9071127.0,Não-Antrópico
284,11,Tietê,2021,63158966.0,Não-Antrópico
285,11,Tocantins,2008,97845653.0,Não-Antrópico
286,11,Tocantins,2021,575032223.0,Não-Antrópico
287,11,Uatuamã,2008,97845653.0,Não-Antrópico
288,11,Uatuamã,2021,112654100.0,Não-Antrópico
289,11,Uruguai,2008,64164031.0,Não-Antrópico
290,11,Uruguai,2021,46417296.0,Não-Antrópico
291,11,Xingú,2008,246017130.0,Não-Antrópico
292,11,Xingú,2021,265048283.0,Não-Antrópico
293,12,Antas,2008,46781625.0,Não-Antrópico
294,12,Antas,2021,35504246.0,Não-Antrópico
295,12,Araguari,2008,4893169.0,Não-Antrópico
296,12,Araguari,2021,2376862.0,Não-Antrópico
297,12,Correntes,2008,30720.0,Não-Antrópico
298,12,Correntes,2021,69130.0,Não-Antrópico
299,12,Curruá Una,2008,3543851.0,Não-Antrópico
300,12,Curruá Una,2021,7142968.0,Não-Antrópico
301,12,Doce,2008,1981237.0,Não-Antrópico
302,12,Doce,2021,2648972.0,Não-Antrópico
303,12,Grande,2008,15938372.0,Não-Antrópico
304,12,Grande,2021,31620768.0,Não-Antrópico
305,12,Iguaçu,2008,315860.0,Não-Antrópico
306,12,Iguaçu,2021,299569.0,Não-Antrópico
307,12,Itabapoana,2008,98427.0,Não-Antrópico
308,12,Itajaí-Açú,2008,98427.0,Não-Antrópico
309,12,Itajaí-Açú,2021,36595.0,Não-Antrópico
310,12,Itiquira,2008,9408.0,Não-Antrópico
311,12,Itiquira,2021,14121281.0,Não-Antrópico
312,12,Jacuí,2008,23008707.0,Não-Antrópico
313,12,Jacuí,2021,14121281.0,Não-Antrópico
314,12,Jari,2008,4118098.0,Não-Antrópico
315,12,Jari,2021,8896654.0,Não-Antrópico
316,12,Jauru,2008,375724.0,Não-Antrópico
317,12,Jauru,2021,2113364.0,Não-Antrópico
318,12,Jequitinhonha,2008,569846.0,Não-Antrópico
319,12,Jequitinhonha,2021,823593.0,Não-Antrópico
320,12,Madeira,2008,1150293971.0,Não-Antrópico
321,12,Madeira,2021,1416787726.0,Não-Antrópico
322,12,Manso,2008,12963.0,Não-Antrópico
323,12,Manso,2021,1607831.0,Não-Antrópico
324,12,Paraguaçu,2008,1059625.0,Não-Antrópico
325,12,Paraguaçu,2021,1198815.0,Não-Antrópico
326,12,Paranapanema,2008,3489522.0,Não-Antrópico
327,12,Paranapanema,2021,6008246.0,Não-Antrópico
328,12,Paranaíba,2008,33264047.0,Não-Antrópico
329,12,Paranaíba,2021,49647815.0,Não-Antrópico
330,12,Paraná,2008,13617100.0,Não-Antrópico
331,12,Paraná,2021,12335384.0,Não-Antrópico
332,12,Parnaíba,2008,42207616.0,Não-Antrópico
333,12,Parnaíba,2021,51740503.0,Não-Antrópico
334,12,São Francisco,2008,56462156.0,Não-Antrópico
335,12,São Francisco,2021,65379622.0,Não-Antrópico
336,12,Tapajós,2008,173389535.0,Não-Antrópico
337,12,Tapajós,2021,148404805.0,Não-Antrópico
338,12,Tietê,2008,569846.0,Não-Antrópico
339,12,Tietê,2021,114279.0,Não-Antrópico
340,12,Tocantins,2008,41987604.0,Não-Antrópico
341,12,Tocantins,2021,301954092.0,Não-Antrópico
342,12,Uatuamã,2008,41987604.0,Não-Antrópico
343,12,Uatuamã,2021,142541166.0,Não-Antrópico
344,12,Uruguai,2008,723857874.0,Não-Antrópico
345,12,Uruguai,2021,444723597.0,Não-Antrópico
346,12,Xingú,2008,158386440.0,Não-Antrópico
347,12,Xingú,2021,292423454.0,Não-Antrópico
348,13,Doce,2008,36307.0,Não-Antrópico
