,DN,nome,ano,area
424,20,Paranapanema,2008,5779331.0
425,20,Paranapanema,2021,2050795.0
426,20,Paranaíba,2008,1960923.0
427,20,Paranaíba,2021,2042893.0
428,20,Paraná,2008,2108581.0
429,20,Paraná,2021,1727097.0
430,20,Paraíba do Sul,2008,12360.0
431,20,Paraíba do Sul,2021,19777.0
432,20,Parnaíba,2008,31964.0
433,20,Parnaíba,2021,17805.0
434,20,São Francisco,2008,1035227.0
435,20,São Francisco,2021,658174.0
436,20,Tietê,2021,6557562.0
437,20,Tocantins,2021,384005.0
438,21,Antas,2008,24068441.0
439,21,Antas,2021,12957790.0
440,21,Capivari,2008,3588733.0
441,21,Capivari,2021,3965195.0
442,21,Correntes,2008,535029.0
443,21,Correntes,2021,606697.0
444,21,Doce,2008,161652618.0
445,21,Doce,2021,178772836.0
446,21,Grande,2008,385963565.0
447,21,Grande,2021,508297172.0
448,21,Iguaçu,2008,214475061.0
449,21,Iguaçu,2021,184566193.0
450,21,Itabapoana,2008,46094121.0
451,21,Itabapoana,2021,8920873.0
452,21,Itajaí-Açú,2008,31536127.0
453,21,Itajaí-Açú,2021,33217832.0
454,21,Itiquira,2008,150498.0
455,21,Itiquira,2021,17675686.0
456,21,Jacuí,2008,34718450.0
457,21,Jacuí,2021,17675686.0
458,21,Jauru,2008,864.0
459,21,Jauru,2021,866.0
460,21,Jequitinhonha,2008,42709120.0
461,21,Jequitinhonha,2021,45455918.0
462,21,Madeira,2008,1009870.0
463,21,Madeira,2021,111545.0
464,21,Manso,2008,976821.0
465,21,Manso,2021,11990903.0
466,21,Mucuri,2008,18998519.0
467,21,Mucuri,2021,20617672.0
468,21,Paraguaçu,2008,9893855.0
469,21,Paraguaçu,2021,15519238.0
470,21,Paranapanema,2008,309719538.0
471,21,Paranapanema,2021,320478246.0
472,21,Paranaíba,2008,323883589.0
473,21,Paranaíba,2021,470948303.0
474,21,Paraná,2008,468511259.0
475,21,Paraná,2021,386639046.0
476,21,Paraíba do Sul,2008,185979459.0
477,21,Paraíba do Sul,2021,204687862.0
478,21,Parnaíba,2008,60256479.0
479,21,Parnaíba,2021,77003227.0
480,21,São Francisco,2008,279658143.0
481,21,São Francisco,2021,559753266.0
482,21,Tapajós,2008,3484335.0
483,21,Tapajós,2021,4148974.0
484,21,Tietê,2008,42709120.0
485,21,Tietê,2021,340619783.0
486,21,Tocantins,2021,228940307.0
487,21,Uruguai,2008,588191806.0
488,21,Uruguai,2021,438086683.0
489,21,Xingú,2008,2488340.0
490,21,Xingú,2021,5341929.0
491,23,Doce,2008,384584.0
492,23,Doce,2021,111319.0
493,23,Itabapoana,2008,126820.0
494,23,Itabapoana,2021,61741.0
495,23,Jequitinhonha,2008,1722.0
496,23,Jequitinhonha,2021,861.0
497,23,Mucuri,2008,25526.0
498,23,Mucuri,2021,5105.0
499,23,Paraguaçu,2008,25295.0
500,23,Paraguaçu,2021,11337.0
501,23,Paraíba do Sul,2008,104077.0
502,23,Paraíba do Sul,2021,88222.0
503,23,Parnaíba,2008,3654943.0
504,23,Parnaíba,2021,1318003.0
505,23,São Francisco,2008,362929.0
506,23,São Francisco,2021,344489.0
507,23,Tietê,2008,1722.0
508,23,Tietê,2021,821.0
509,23,Tocantins,2021,9670.0
